participant_id,timestamp,heart_rate_bpm,steps
p01,2024-01-01 00:00:00,57.4,0
p01,2024-01-01 01:00:00,57.3,0
p01,2024-01-01 02:00:00,57.6,0
p01,2024-01-01 03:00:00,60.8,0
p01,2024-01-01 04:00:00,57.5,0
p01,2024-01-01 05:00:00,52.0,0
p01,2024-01-01 06:00:00,74.7,1364
p01,2024-01-01 07:00:00,69.9,565
p01,2024-01-01 08:00:00,77.5,1534
p01,2024-01-01 09:00:00,79.3,2032
p01,2024-01-01 10:00:00,84.6,2130
p01,2024-01-01 11:00:00,79.1,2236
p01,2024-01-01 12:00:00,71.9,1203
p01,2024-01-01 13:00:00,77.6,884
p01,2024-01-01 14:00:00,82.4,1126
p01,2024-01-01 15:00:00,80.9,1665
p01,2024-01-01 16:00:00,78.9,1489
p01,2024-01-01 17:00:00,86.9,1009
p01,2024-01-01 18:00:00,100.6,2408
p01,2024-01-01 19:00:00,98.7,3472
p01,2024-01-01 20:00:00,94.6,2881
p01,2024-01-01 21:00:00,66.5,137
p01,2024-01-01 22:00:00,73.0,20
p01,2024-01-01 23:00:00,73.0,141
p02,2024-01-01 00:00:00,64.0,0
p02,2024-01-01 01:00:00,59.5,0
p02,2024-01-01 02:00:00,60.8,0
p02,2024-01-01 03:00:00,61.5,0
p02,2024-01-01 04:00:00,54.6,0
p02,2024-01-01 05:00:00,51.7,0
p02,2024-01-01 06:00:00,63.0,539
p02,2024-01-01 07:00:00,74.7,1552
p02,2024-01-01 08:00:00,65.0,1620
p02,2024-01-01 09:00:00,82.0,2346
p02,2024-01-01 10:00:00,87.5,918
p02,2024-01-01 11:00:00,75.0,1019
p02,2024-01-01 12:00:00,85.0,698
p02,2024-01-01 13:00:00,69.5,764
p02,2024-01-01 14:00:00,70.3,1592
p02,2024-01-01 15:00:00,81.1,1837
p02,2024-01-01 16:00:00,81.1,930
p02,2024-01-01 17:00:00,88.3,900
p02,2024-01-01 18:00:00,86.5,1251
p02,2024-01-01 19:00:00,90.4,1678
p02,2024-01-01 20:00:00,86.0,3139
p02,2024-01-01 21:00:00,75.0,159
p02,2024-01-01 22:00:00,72.8,149
p02,2024-01-01 23:00:00,70.9,167
